,1-factor,2-factor,3-factor,4-factor,5-factor,,common,,,,,,
1,DTB3,DTB3,DTB3,DTB3,DTB3,,DTB3,5,,,,,
,,DFF,DFF,DFF,DFF,,DFF,4,,,,,
,,,UMCSENT,UMCSENT,UMCSENT,,UMCSENT,3,,,,,
,,,,VIXCLS_chg,VIXCLS_chg,,VIXCLS_chg,2,,,,,
,,,,,DEXJPUS,,DEXJPUS,1,,,,,
,0.98113309,0.988370596,0.989438433,0.990018312,0.99018743,,,,,,,,
2,,DTB3,DTB3,DTB3,DTB3,,DTB3,4,,,,,
,DFF,,DFF,DFF,DFF,,DFF,4,,,,,
,,TEDRATE,INFLA,UMCSENT,UMCSENT,,UMCSENT,2,,WORD: (negative R^2),,,
,,,,USEPUINDXD,BAAFF_chg,,,,,,,,
,,,,,VIXCLS_chg,,,,,,,,
,0.980937227,0.983439758,0.98918015,0.98961677,0.990142794,,,,,,,,
3,,,DTB3,DTB3,DTB3,,DTB3,3,,,,,
,,DFF,DFF,DFF,DFF,,DFF,4,,,,,
,,,,UMCSENT,UMCSENT,,UMCSENT,2,,,,,
,DGS3,INFLA,USEPUINDXD,DEXJPUS,USEPUINDXD,,USEPUINDXD?,2,,,,,
,,,,,VIXCLS_chg,,,,,,,,
,0.70403098,0.98343752,0.988843346,0.989607119,0.99007184,,,,,,,,
4,,,DTB3,DTB3,DTB3,,DTB3,3,,,,,
,,DFF,DFF,DFF,DFF,,DFF,4,,,,,
,,,VIXCLS_chg,VIXCLS_chg,VIXCLS_chg,,VIXCLS_chg,3,,,,,
,,AHETPI,,INFLA,UMCSENT,,,,,,,,
,PPIACO(-),,,,GDP_chg12,,,,,,,,
,-2.009596252,0.983324983,0.988822974,0.989591931,0.990054855,,,,,,,,
5,,,DTB3,DTB3,DTB3,,DTB3,3,,,,,
,,DFF,DFF,DFF,DFF,,DFF,4,,,,,
,,,,TCU,UMCSENT,,,,,,,,
,,,DEXJPUS,INFLA,USEPUINDXD,,,,,,,,
,PCEND(-),PPIACO,,,VIXCLS_chg,,,,,,,,
,-2.901687468,0.983095718,0.988543726,0.989540404,0.990050466,,,,,,,,